outbound_date,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,fare_range,volatility_pct,fare_change_pct
2026-09-12,BOM-COK,37172.8,46344.0,21309.0,49211.0,14383.937837045876,5,4,27902.0,38.69479252853128,
2026-09-13,BOM-COK,18576.7,18756.0,17226.0,19793.0,728.9813364475723,10,4,2567.0,3.924170258698113,-50.02609434855594
2026-09-12,BOM-DEL,22242.2,21212.5,13389.0,30768.0,5386.951102226357,10,2,17379.0,24.219506623564023,
2026-09-13,BOM-DEL,13422.44,12923.0,12655.0,19233.0,1416.7095115089744,25,5,6578.0,10.554783716738344,-39.653271708733854
2026-09-12,BOM-GOI,29371.25,29607.5,21863.0,36407.0,5967.801514516604,4,3,14544.0,20.31851390225681,
2026-09-13,BOM-GOI,16469.25,15342.0,12403.0,23911.0,3931.0344260882416,12,3,11508.0,23.868934080715526,-43.927309869345024
2026-09-12,BOM-HYD,19998.0,16762.5,13978.0,32489.0,8432.918079368097,4,2,18511.0,42.16880727756824,
2026-09-13,BOM-HYD,12135.777777777777,12029.0,11924.0,12339.0,176.62302920186949,9,2,415.0,1.4553910959484586,-39.315042615372654
2026-09-12,BOM-MAA,16893.0,16893.0,16339.0,17447.0,783.4743135546946,2,1,1108.0,4.637863692385571,
2026-09-13,BOM-MAA,15566.833333333334,14171.5,13981.0,22838.0,3293.2582327960226,12,4,8857.0,21.155607966484443,-7.850391680972391
2026-09-13,BOM-PNQ,24724.555555555555,24453.0,23774.0,25590.0,602.8434936015963,9,2,1816.0,2.4382379381785837,
2026-09-12,CCU-AMD,21508.0,21342.0,20062.0,23120.0,1535.743468161268,3,1,3058.0,7.140336005957169,
2026-09-13,CCU-AMD,19658.2,19740.5,13711.0,24797.0,2969.7626841214096,10,2,11086.0,15.10699191238979,-8.600520736470152
2026-09-12,CCU-BLR,21252.75,21330.5,18785.0,23565.0,2343.9528401114785,4,3,4780.0,11.028939031944,
2026-09-13,CCU-BLR,18946.944444444445,18367.5,15976.0,32370.0,3734.7095244511506,18,3,16394.0,19.711408007776306,-10.849445627297904
2026-09-12,CCU-BOM,20747.666666666668,18968.0,18963.0,24312.0,3086.8042265963886,3,3,5349.0,14.87783795734326,
2026-09-13,CCU-BOM,18115.785714285714,17708.5,17168.0,23547.0,1616.4791834568903,14,3,6379.0,8.923042085788031,-12.68519007300879
2026-09-12,CCU-COK,31666.0,31666.0,31666.0,31666.0,0.0,1,1,0.0,0.0,
2026-09-13,CCU-COK,30423.416666666668,30401.0,26994.0,34843.0,2265.452973301901,12,1,7849.0,7.446412078312157,-3.924029979578514
2026-09-12,CCU-DEL,17244.5,17314.5,16503.0,17846.0,625.2372882887478,4,3,1343.0,3.625720016751705,
2026-09-13,CCU-DEL,16901.625,17125.5,15376.0,18151.0,861.9202495977614,16,4,2775.0,5.099629471117489,-1.9883151149641898
2026-09-12,CCU-GOI,36891.5,36341.0,28826.0,46058.0,8172.832291602873,4,2,17232.0,22.153700152075338,
2026-09-13,CCU-GOI,30047.0,29691.0,28110.0,34433.0,2183.542011110781,8,2,6323.0,7.267088265420112,-18.553054226583356
2026-09-12,CCU-HYD,22513.0,22513.0,22355.0,22671.0,223.44574285494903,2,2,316.0,0.9925187351972151,
2026-09-13,CCU-HYD,22094.272727272728,20361.0,18131.0,34457.0,4912.094728136034,11,3,16326.0,22.23243457148351,-1.8599354716264949
