route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,volatility_pct,fare_range,rank_by_average_fare
DEL-PNQ,16708.0,15031.0,13861.0,31397.0,4033.388472665207,22,5,24.140462489018475,17536.0,57
PNQ-CCU,16288.333333333334,14873.5,13854.0,29169.0,4333.844720407742,12,4,26.607048319294435,15315.0,58
GOI-BOM,16161.666666666666,14125.0,12625.0,21735.0,4884.570946698731,3,2,30.223188285235008,9110.0,59
BOM-DEL,15942.371428571429,13187.0,12655.0,30768.0,5043.844589233111,35,5,31.637981913993595,18113.0,60
BLR-BOM,15874.59375,14351.0,13034.0,32314.0,4618.202379360813,32,3,29.091783084910837,19280.0,61
BOM-MAA,15756.285714285714,14376.5,13981.0,22838.0,3075.0837994478093,14,4,19.516552664818274,8857.0,62
HYD-BOM,15599.3125,12536.5,11983.0,40712.0,7565.588372966553,16,2,48.49949876295223,28729.0,63
COK-BLR,15349.181818181818,14650.0,11270.0,19735.0,2627.0738405374846,11,2,17.115399841218856,8465.0,64
MAA-BLR,15199.076923076924,8266.0,7646.0,38318.0,12283.676963498745,13,4,80.81857224400454,30672.0,65
MAA-BOM,15036.0,14399.0,13924.0,21767.0,2086.762638081367,14,3,13.878442658162857,7843.0,66
AMD-PNQ,14816.25,11712.0,9676.0,24965.0,5535.244695666948,12,4,37.359282515258236,15289.0,67
DEL-AMD,14632.25,14044.5,11325.0,22281.0,2843.837653594171,16,2,19.4354091379943,10956.0,68
BOM-HYD,14554.923076923076,12298.0,11924.0,32489.0,5662.527475452673,13,2,38.90455102734721,20565.0,69
AMD-DEL,14267.0,12128.0,11154.0,37611.0,6102.396404884963,18,2,42.772807211642,26457.0,70
BOM-BLR,14019.636363636364,13078.0,10477.0,34025.0,3915.246805903347,33,3,27.926878446423732,23548.0,71
HYD-GOI,13926.333333333334,14321.0,11779.0,16324.0,1651.8374819172336,6,1,11.86125193458843,4545.0,72
BLR-GOI,13918.0,13971.5,11784.0,17081.0,1993.930791176063,6,2,14.326273826527252,5297.0,73
DEL-BOM,13832.411764705883,12926.0,12655.0,25949.0,3121.3437968348208,34,5,22.565434357579576,13294.0,74
HYD-MAA,13242.3,12813.0,11944.0,15332.0,1365.3448119634668,10,2,10.31048089805749,3388.0,75
BLR-HYD,12825.058823529413,12387.0,9651.0,19290.0,2554.981860762133,17,2,19.92179447999608,9639.0,76
MAA-PNQ,12641.583333333334,11499.5,9830.0,19302.0,2748.792179661769,12,2,21.744049832854024,9472.0,77
BLR-PNQ,11853.277777777777,10424.0,8977.0,17950.0,3174.1514439120415,18,3,26.778680997950282,8973.0,78
PNQ-MAA,11841.666666666666,10801.0,9830.0,16581.0,2113.457120454541,9,2,17.847632262811043,6751.0,79
HYD-PNQ,11665.0,10565.0,9095.0,22535.0,4143.745889892381,9,2,35.52289661287939,13440.0,80
HYD-BLR,11532.9375,10773.5,8612.0,16853.0,2570.4798376632593,16,3,22.28816238415633,8241.0,81
PNQ-BLR,10349.235294117647,9308.0,8977.0,23018.0,3346.0466323971746,17,3,32.331341759125124,14041.0,82
PNQ-HYD,10099.25,9961.0,8940.0,11457.0,875.9653858131928,8,2,8.67356868889465,2517.0,83
AMD-BOM,9792.941176470587,9560.0,8382.0,11854.0,1147.617448814512,17,3,11.718823059734927,3472.0,84
BOM-AMD,9233.2,8837.5,8172.0,12001.0,1065.7639513513304,20,3,11.542736552347293,3829.0,85
PNQ-AMD,8694.111111111111,8830.0,7066.0,10071.0,986.2628255749635,9,2,11.344032908833144,3005.0,86
BLR-MAA,8027.428571428572,7932.0,7932.0,8266.0,162.97531218240496,7,2,2.030230611611679,334.0,87
