month,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,volatility_pct,fare_change_pct
2026-09,AMD-BLR,18526.3125,16486.5,15903.0,36383.0,5533.151298838063,16,29.866446972855837,
2026-09,AMD-BOM,9792.941176470587,9560.0,8382.0,11854.0,1147.617448814512,17,11.718823059734927,
2026-09,AMD-CCU,20850.571428571428,18100.0,14341.0,38122.0,7951.487551754972,7,38.13558577516533,
2026-09,AMD-COK,24130.272727272728,23078.0,20925.0,35350.0,3905.35140777137,11,16.184447858964436,
2026-09,AMD-DEL,14267.0,12128.0,11154.0,37611.0,6102.396404884963,18,42.772807211642,
2026-09,AMD-GOI,22563.933333333334,20180.0,13298.0,42449.0,8436.527768042513,15,37.38943757460658,
2026-09,AMD-HYD,18596.933333333334,14964.0,13777.0,32746.0,6167.066789078288,15,33.161740586682505,
2026-09,AMD-MAA,19402.545454545456,16818.0,16049.0,35854.0,5840.441016971858,11,30.101416490193618,
2026-09,AMD-PNQ,14816.25,11712.0,9676.0,24965.0,5535.244695666948,12,37.359282515258236,
2026-09,BLR-AMD,20089.866666666665,17276.0,15211.0,34491.0,5369.768149645976,15,26.728739611575207,
2026-09,BLR-BOM,15874.59375,14351.0,13034.0,32314.0,4618.202379360813,32,29.091783084910837,
2026-09,BLR-CCU,19822.833333333332,18996.0,16480.0,27919.0,3262.6629383488826,24,16.45911501895398,
2026-09,BLR-COK,38150.36363636364,12543.0,11569.0,281760.0,80835.55992169872,11,211.8867350576155,
2026-09,BLR-DEL,23502.451612903227,18392.0,17335.0,67171.0,11424.49435157842,31,48.60979841484362,
2026-09,BLR-GOI,13918.0,13971.5,11784.0,17081.0,1993.930791176063,6,14.326273826527252,
2026-09,BLR-HYD,12825.058823529413,12387.0,9651.0,19290.0,2554.981860762133,17,19.92179447999608,
2026-09,BLR-MAA,8027.428571428572,7932.0,7932.0,8266.0,162.97531218240496,7,2.030230611611679,
2026-09,BLR-PNQ,11853.277777777777,10424.0,8977.0,17950.0,3174.1514439120415,18,26.778680997950282,
2026-09,BOM-AMD,9233.2,8837.5,8172.0,12001.0,1065.7639513513304,20,11.542736552347293,
2026-09,BOM-BLR,14019.636363636364,13078.0,10477.0,34025.0,3915.246805903347,33,27.926878446423732,
2026-09,BOM-CCU,18431.2,17415.0,16965.0,24559.0,2127.584921924387,15,11.543387961306843,
2026-09,BOM-COK,24775.4,18970.0,17226.0,49211.0,11907.650138821324,15,48.06239309484942,
2026-09,BOM-DEL,15942.371428571429,13187.0,12655.0,30768.0,5043.844589233111,35,31.637981913993595,
2026-09,BOM-GOI,19694.75,16444.5,12403.0,36407.0,7193.571783196438,16,36.52532671496942,
2026-09,BOM-HYD,14554.923076923076,12298.0,11924.0,32489.0,5662.527475452673,13,38.90455102734721,
2026-09,BOM-MAA,15756.285714285714,14376.5,13981.0,22838.0,3075.0837994478093,14,19.516552664818274,
2026-09,BOM-PNQ,24724.555555555555,24453.0,23774.0,25590.0,602.8434936015963,9,2.4382379381785837,
2026-09,CCU-AMD,20085.076923076922,20062.0,13711.0,24797.0,2768.7060594418003,13,13.784891489564929,
2026-09,CCU-BLR,19366.18181818182,18707.5,15976.0,32370.0,3592.3166770518847,22,18.54943174022698,
2026-09,CCU-BOM,18580.235294117647,18155.0,17168.0,24312.0,2093.7264783577803,17,11.26856815974035,
2026-09,CCU-COK,30519.0,30437.0,26994.0,34843.0,2196.214394513128,13,7.196220041656437,
2026-09,CCU-DEL,16970.2,17125.5,15376.0,18151.0,817.330867744772,20,4.816271274026069,
2026-09,CCU-GOI,32328.5,30505.0,28110.0,46058.0,5710.328497157982,12,17.663450197683105,
2026-09,CCU-HYD,22158.69230769231,20361.0,18131.0,34457.0,4487.328369691248,13,20.250871790541034,
2026-09,CCU-MAA,16802.35714285714,15693.0,13906.0,30673.0,4243.8864192577585,14,25.257684878230783,
2026-09,CCU-PNQ,18959.5,18097.0,14723.0,26609.0,3529.1878505706363,14,18.61435085614408,
2026-09,COK-AMD,26182.0,26182.0,26182.0,26182.0,0.0,1,0.0,
2026-09,COK-BLR,15349.181818181818,14650.0,11270.0,19735.0,2627.0738405374846,11,17.115399841218856,
2026-09,COK-BOM,19608.61111111111,17672.0,14632.0,30530.0,4640.075203991075,18,23.663456721632887,
2026-09,COK-CCU,32011.0,32011.0,32011.0,32011.0,0.0,1,0.0,
2026-09,COK-DEL,27426.88888888889,25530.0,23532.0,41662.0,4823.316565684908,18,17.586087088568465,
2026-09,COK-GOI,20951.0,20951.0,20951.0,20951.0,0.0,1,0.0,
2026-09,COK-MAA,72786.0,72786.0,72786.0,72786.0,0.0,1,0.0,
2026-09,COK-PNQ,19502.25,18405.0,14929.0,26270.0,5329.14692203796,4,27.325805596984758,
2026-09,DEL-AMD,14632.25,14044.5,11325.0,22281.0,2843.837653594171,16,19.4354091379943,
2026-09,DEL-BLR,17931.59375,17745.0,16878.0,19554.0,807.4731138787794,32,4.503074992309478,
2026-09,DEL-BOM,13832.411764705883,12926.0,12655.0,25949.0,3121.3437968348208,34,22.565434357579576,
2026-09,DEL-CCU,18374.136363636364,17709.0,15717.0,26216.0,2694.470250884288,22,14.664472917577903,
2026-09,DEL-COK,27641.266666666666,26058.0,23804.0,44599.0,5185.833580419789,15,18.76120093538811,
2026-09,DEL-GOI,26690.222222222223,23366.0,18569.0,46819.0,8424.744272994847,18,31.564908687723186,
2026-09,DEL-HYD,16848.333333333332,16842.5,15910.0,17537.0,473.6432015272054,18,2.8112169444685255,
2026-09,DEL-MAA,22846.8,19130.0,17902.0,52632.0,10209.221029469949,15,44.685562220835955,
2026-09,DEL-PNQ,16708.0,15031.0,13861.0,31397.0,4033.388472665207,22,24.140462489018475,
2026-09,GOI-AMD,29990.0,29990.0,29990.0,29990.0,0.0,1,0.0,
2026-09,GOI-BLR,28177.333333333332,32084.0,11359.0,41089.0,15245.155241365479,3,54.10432229699575,
2026-09,GOI-BOM,16161.666666666666,14125.0,12625.0,21735.0,4884.570946698731,3,30.223188285235008,
2026-09,GOI-CCU,31869.5,32310.0,30036.0,32822.0,1259.5251750825255,4,3.9521334664256593,
2026-09,GOI-COK,37964.75,39130.0,32988.0,40611.0,3392.501179071277,4,8.935923926988263,
2026-09,GOI-DEL,21103.0,21103.0,21103.0,21103.0,0.0,1,0.0,
2026-09,GOI-HYD,32392.5,32392.5,32345.0,32440.0,67.17514421272202,2,0.2073786963424312,
2026-09,GOI-MAA,31727.0,31727.0,31727.0,31727.0,0.0,1,0.0,
2026-09,HYD-AMD,19321.545454545456,15837.0,12693.0,30186.0,7185.93312470463,11,37.19129580814208,
2026-09,HYD-BLR,11532.9375,10773.5,8612.0,16853.0,2570.4798376632593,16,22.28816238415633,
2026-09,HYD-BOM,15599.3125,12536.5,11983.0,40712.0,7565.588372966553,16,48.49949876295223,
2026-09,HYD-CCU,20027.125,19521.0,17631.0,22671.0,1788.2581658857723,8,8.929180628201863,
