route,airline,average_fare,median_fare,minimum_fare,maximum_fare,observations,average_duration_minutes,average_stops
PNQ-DEL,SpiceJet,14588.0,14588.0,14588.0,14588.0,1,155.0,0.0
PNQ-DEL,IndiGo,15890.111111111111,14723.0,13894.0,19297.0,9,229.44444444444446,0.2222222222222222
PNQ-DEL,Akasa Air,15902.75,14934.0,14599.0,19144.0,4,142.5,0.0
PNQ-DEL,Air India Express,18971.0,18971.0,14471.0,23471.0,2,150.0,0.0
PNQ-DEL,Air India,20241.0,13892.0,13861.0,31732.0,7,145.71428571428572,0.0
PNQ-GOI,IndiGo,20489.2,19323.0,19323.0,24460.0,5,276.0,0.8
PNQ-GOI,Air India Express,27597.666666666668,26784.0,24778.0,31231.0,3,506.6666666666667,1.0
PNQ-GOI,"Air India, Air India Express",42331.0,42331.0,42331.0,42331.0,1,565.0,1.0
PNQ-GOI,Air India,45791.0,45791.0,43856.0,47726.0,2,1080.0,1.0
PNQ-HYD,Star Air,9910.5,9910.5,8940.0,10881.0,2,70.0,0.0
PNQ-HYD,IndiGo,10162.166666666666,9961.0,9095.0,11457.0,6,81.66666666666667,0.0
PNQ-MAA,IndiGo,11149.0,10801.0,9830.0,13480.0,7,220.71428571428572,0.42857142857142855
PNQ-MAA,Air India Express,14266.0,14266.0,11951.0,16581.0,2,687.5,0.5
